0.00000E+00 0.00000E+00 0.28800E+02
0.10000E+01 -.60000E+03 0.00000E+00 0.28800E+02
0.20000E+01 -.63100E+03 0.00000E+00 0.28700E+02
0.30000E+01 -.66100E+03 0.00000E+00 0.28800E+02
0.40000E+01 -.69500E+03 0.00000E+00 0.28800E+02
0.50000E+01 -.72600E+03 0.00000E+00 0.28800E+02
0.60000E+01 -.75800E+03 0.00000E+00 0.28700E+02
0.70000E+01 -.78700E+03 0.00000E+00 0.28700E+02
0.80000E+01 -.81900E+03 0.00000E+00 0.28800E+02
0.90000E+01 -.85200E+03 0.00000E+00 0.31200E+02
0.10000E+02 -.93400E+03 0.00000E+00 0.31100E+02
0.11000E+02 -.96600E+03 0.00000E+00 0.31200E+02
0.12000E+02 -.10020E+04 0.00000E+00 0.31200E+02
0.13000E+02 -.10370E+04 0.00000E+00 0.31200E+02
0.14000E+02 -.10710E+04 0.00000E+00 0.31400E+02
0.15000E+02 -.11090E+04 0.00000E+00 0.31400E+02
0.16000E+02 -.11440E+04 0.00000E+00 0.31200E+02
0.17000E+02 -.11740E+04 0.00000E+00 0.31200E+02
0.18000E+02 -.12080E+04 0.00000E+00 0.63000E+02
0.19000E+02 -.19050E+04 0.00000E+00 0.63000E+02
0.20000E+02 -.19750E+04 0.00000E+00 0.63000E+02
0.21000E+02 -.20440E+04 0.00000E+00 0.63000E+02
0.22000E+02 -.21130E+04 0.00000E+00 0.63000E+02
0.23000E+02 -.21820E+04 0.00000E+00 0.63100E+02
0.24000E+02 -.22530E+04 0.00000E+00 0.63200E+02
0.25000E+02 -.23240E+04 0.00000E+00 0.63200E+02
0.26000E+02 -.23940E+04 0.00000E+00 0.63200E+02
