0.10000E+03 0.50000E+02 0.28600E+02
0.10000E+01 0.80000E+01 0.50000E+02 0.28400E+02
0.20000E+01 0.80000E+01 0.50000E+02 0.28600E+02
0.30000E+01 0.80000E+01 0.50000E+02 0.28600E+02
0.40000E+01 0.80000E+01 0.50000E+02 0.28600E+02
0.50000E+01 0.80000E+01 0.50000E+02 0.28600E+02
0.60000E+01 0.80000E+01 0.50000E+02 0.28700E+02
0.70000E+01 0.80000E+01 0.50000E+02 0.28700E+02
0.80000E+01 0.80000E+01 0.50000E+02 0.28700E+02
0.90000E+01 0.80000E+01 0.50000E+02 0.28800E+02
0.10000E+02 0.80000E+01 0.50000E+02 0.28900E+02
0.11000E+02 0.70000E+01 0.50000E+02 0.28900E+02
