0.10000E+03 0.50000E+02 0.27500E+02
0.10000E+01 0.00000E+00 0.50000E+02 0.27500E+02
0.20000E+01 0.10000E+03 0.50000E+02 0.27500E+02
0.30000E+01 0.10000E+03 0.50000E+02 0.27500E+02
0.40000E+01 0.10000E+03 0.50000E+02 0.27600E+02
0.50000E+01 0.10000E+03 0.50000E+02 0.27600E+02
0.60000E+01 0.10000E+03 0.50000E+02 0.27600E+02
0.70000E+01 0.10000E+03 0.50000E+02 0.27900E+02
0.80000E+01 0.10000E+03 0.50000E+02 0.28100E+02
0.90000E+01 0.10000E+03 0.50000E+02 0.28300E+02
0.10000E+02 0.10000E+03 0.50000E+02 0.28600E+02
0.11000E+02 0.10000E+03 0.50000E+02 0.28800E+02
0.12000E+02 0.10000E+03 0.50000E+02 0.29000E+02
0.13000E+02 0.10000E+03 0.50000E+02 0.29100E+02
0.14000E+02 0.10000E+03 0.50000E+02 0.29600E+02
0.15000E+02 0.10000E+03 0.50000E+02 0.29700E+02
0.16000E+02 0.10000E+03 0.50000E+02 0.30300E+02
0.17000E+02 0.10000E+03 0.50000E+02 0.30300E+02
0.18000E+02 0.10000E+03 0.50000E+02 0.30700E+02
0.19000E+02 0.10000E+03 0.50000E+02 0.31100E+02
