0.10000E+03 0.50000E+02 0.43200E+02
0.10000E+01 0.00000E+00 0.50000E+02 0.43200E+02
0.20000E+01 0.00000E+00 0.50000E+02 0.43100E+02
0.30000E+01 0.00000E+00 0.50000E+02 0.43100E+02
0.40000E+01 0.00000E+00 0.50000E+02 0.43000E+02
0.50000E+01 0.00000E+00 0.50000E+02 0.42900E+02
0.60000E+01 0.00000E+00 0.50000E+02 0.42500E+02
0.70000E+01 0.00000E+00 0.50000E+02 0.42200E+02
0.80000E+01 0.00000E+00 0.50000E+02 0.42200E+02
0.90000E+01 0.00000E+00 0.50000E+02 0.41600E+02
0.10000E+02 0.00000E+00 0.50000E+02 0.41200E+02
0.11000E+02 0.00000E+00 0.50000E+02 0.40900E+02
0.12000E+02 0.00000E+00 0.50000E+02 0.40700E+02
0.13000E+02 0.00000E+00 0.50000E+02 0.40200E+02
