0.10000E+03 0.50000E+02 0.27600E+02
0.10000E+01 0.00000E+00 0.50000E+02 0.27600E+02
0.20000E+01 0.48000E+02 0.50000E+02 0.27600E+02
0.30000E+01 0.50000E+02 0.50000E+02 0.27600E+02
0.40000E+01 0.51000E+02 0.50000E+02 0.27700E+02
0.50000E+01 0.47000E+02 0.50000E+02 0.27700E+02
0.60000E+01 0.53000E+02 0.50000E+02 0.27600E+02
0.70000E+01 0.60000E+02 0.50000E+02 0.27600E+02
0.80000E+01 0.57000E+02 0.50000E+02 0.27600E+02
0.90000E+01 0.59000E+02 0.50000E+02 0.27700E+02
0.10000E+02 0.54000E+02 0.50000E+02 0.27700E+02
0.11000E+02 0.61000E+02 0.50000E+02 0.27500E+02
0.12000E+02 0.73000E+02 0.50000E+02 0.27500E+02
0.13000E+02 0.65000E+02 0.50000E+02 0.27600E+02
0.14000E+02 0.61000E+02 0.50000E+02 0.27600E+02
0.15000E+02 0.67000E+02 0.50000E+02 0.27600E+02
0.16000E+02 0.69000E+02 0.50000E+02 0.27600E+02
0.17000E+02 0.70000E+02 0.50000E+02 0.27600E+02
0.18000E+02 0.72000E+02 0.50000E+02 0.27600E+02
0.19000E+02 0.73000E+02 0.50000E+02 0.27600E+02
0.20000E+02 0.75000E+02 0.50000E+02 0.27600E+02
0.21000E+02 0.76000E+02 0.50000E+02 0.27700E+02
0.22000E+02 0.72000E+02 0.50000E+02 0.27700E+02
0.23000E+02 0.78000E+02 0.50000E+02 0.27700E+02
0.24000E+02 0.80000E+02 0.50000E+02 0.27700E+02
0.25000E+02 0.81000E+02 0.50000E+02 0.27900E+02
0.26000E+02 0.71000E+02 0.50000E+02 0.27900E+02
0.27000E+02 0.82000E+02 0.50000E+02 0.27900E+02
0.28000E+02 0.84000E+02 0.50000E+02 0.27700E+02
0.29000E+02 0.96000E+02 0.50000E+02 0.27700E+02
0.30000E+02 0.88000E+02 0.50000E+02 0.27900E+02
0.31000E+02 0.78000E+02 0.50000E+02 0.27900E+02
0.32000E+02 0.89000E+02 0.50000E+02 0.27900E+02
0.33000E+02 0.91000E+02 0.50000E+02 0.27900E+02
